_id,SL No,Ward No,Ward Name,Bus Stops,LATITUDE,LONGITUDE
56,56,Outside BBMP Limits,Outside BBMP Limits,Dommasandra,12.879466,77.753872
57,57,Outside BBMP Limits,Outside BBMP Limits,"Chandapura Cross,DOMMASANDRA,IN FRONT OF HOTEL SHRI LAKSHMI & N.R STORE",12.887097,77.738399
58,58,Outside BBMP Limits,Outside BBMP Limits,"Chokkanahalli Gate,Chokkanahalli ,ABR Cricket Ground",12.873487,77.734034
59,59,Outside BBMP Limits,Outside BBMP Limits,"Head Start School Gate,Kommasandra,Temple",12.861315,77.732446
60,60,Outside BBMP Limits,Outside BBMP Limits,"Kaggalipura Gate,Kaggalipura,Junction Near Jcc Park",12.842949,77.727639
61,61,Outside BBMP Limits,Outside BBMP Limits,"Chikka Thimmasandra Gate,CHikka Thimmasandra,IOCL Gas Station",12.852496,77.729968
62,62,Outside BBMP Limits,Outside BBMP Limits,"Muttanallur Cross,MUTHANALLURU,IN FRONT OF R.R.WINES",12.843287,77.727497
63,63,Outside BBMP Limits,Outside BBMP Limits,"Narayana Ghatta,ANEKAL TALUK,IN FRONT OF ASHWATHA KATTE",12.837696,77.724579
64,64,Outside BBMP Limits,Outside BBMP Limits,"Ramasagara,ANEKAL TALUK,OPPOSITE OF SRI BASAVESHWARA TEMPLE",12.820758,77.718798
65,65,Outside BBMP Limits,Outside BBMP Limits,"Heelalige,Heelalige,Hanuman Temple",12.817932,77.708963
66,66,Outside BBMP Limits,Outside BBMP Limits,"Chandapura,ANEKAL TALUK,IN FRONT OF PANCHAYAT COMPLEX & S.K.MEDICAL & GENERAL STORE",12.802938,77.704806
67,67,Outside BBMP Limits,Outside BBMP Limits,"Igglur,CHANDAPURA POST & ANEKAL TALUK,BEHIND SRI VENUGOPAL SWAMY TEMPLE",12.786611,77.70331
68,68,Outside BBMP Limits,Outside BBMP Limits,"Ramakrishnapur gate ,ANEKAL TALUK,OPPOSITE OF SRI PRASANNA VENKATESHWARA SWAMY TEMPLE ARCH",12.778841,77.702114
69,69,Outside BBMP Limits,Outside BBMP Limits,"Marsoor gate ,ANEKAL TALUK,OPPOSITE OF BHARAT PETROL BUNK, CG CABLES & WIRES INDIA PRIVATE LIMITED",12.769399,77.701424
70,70,Outside BBMP Limits,Outside BBMP Limits,"Begadadevanahalli,ANEKAL TALUK,OPPOSITE OF GOVERNMENT PRIMARY SCHOOL",12.752203,77.70673
71,71,Outside BBMP Limits,Outside BBMP Limits,"Avadadenahalli,Avadadenahalli,Tree",12.746357,77.707866
72,72,Outside BBMP Limits,Outside BBMP Limits,"Karpoora Gate,Karpoora,Tea Shop",12.735317,77.708073
73,73,Outside BBMP Limits,Outside BBMP Limits,"Chikka Hagade Gate,Chikka Hagade,Tree",12.731493,77.706336
74,74,Outside BBMP Limits,Outside BBMP Limits,"Kavala Hosahalli,Anekal,Temple",12.723842,77.703638
75,75,Outside BBMP Limits,Outside BBMP Limits,"Anjaneya Temple,Anekal,Temple",12.710139,77.697673
76,76,Outside BBMP Limits,Outside BBMP Limits,"Devarakondappa Circle,Anekal,Circle Pillo",12.709193,77.69813
77,77,Outside BBMP Limits,Outside BBMP Limits,"Indlawadi Cross,Opp to open area",12.732047,77.670726
78,78,Outside BBMP Limits,Outside BBMP Limits,"Sidihosakote,ANEKAL TALUK,OPPOSITE OF GOVERNMENT SENIOR PRIMARY SCHOOL",12.73938,77.688123
79,79,Outside BBMP Limits,Outside BBMP Limits,"Doddahagade,ANEKAL TALUK,IN FRONT OF AGRICULTURE SERVICE CO-OPERATIVE SOCIETY",12.746798,77.689777
81,81,Outside BBMP Limits,Outside BBMP Limits,"Marsoor gate ,ANEKAL TALUK,IN FRONT OF BHARAT PETROL BUNK, CG CABLES & WIRES INDIA PRIVATE LIMITED",12.769985,77.701364
82,82,Outside BBMP Limits,Outside BBMP Limits,"Ramakrishnapur gate ,ANEKAL TALUK,IN FRONT OF SRI VENKATESHWARA SWAMY TEMPLE ARCH",12.778981,77.702071
83,83,Outside BBMP Limits,Outside BBMP Limits,"Handenahalli,Bidarguppe,Near Thyavakanahalli",12.824937,77.766117
84,84,Outside BBMP Limits,Outside BBMP Limits,"Solusapura,SARJAPURA, HOBLI,BESIDE GOVT. PRIMARY SCHOOL",12.83025,77.756595
